CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
129,Paraguay,PRY,Latin America & the Caribbean,0.023026315789473777,-0.04279279279279269,0.0
130,Peru,PER,Latin America & the Caribbean,0.2368421052631578,0.14414414414414428,0.1671309192200557
131,Philippines,PHL,South Asia,0.01644736842105257,-0.11936936936936923,0.05571030640668524
132,Poland,POL,Eastern Europe,0.31250000000000006,0.3040540540540542,0.1671309192200557
133,Portugal,PRT,Western Europe,0.4736842105263156,0.4617117117117117,0.09749303621169916
134,Qatar,QAT,Middle East & North Africa,-0.22368421052631568,-0.3896396396396396,0.30083565459610023
135,Romania,ROU,Eastern Europe,0.4210526315789472,0.3536036036036035,0.18941504178272972
136,Russia,RUS,Eastern Europe,-0.16118421052631585,-0.2409909909909909,-0.08077994428969355
137,Rwanda,RWA,Sub-Saharan Africa,-0.0032894736842104563,-0.13288288288288286,0.25905292479108627
142,Saudi Arabia,SAU,Middle East & North Africa,-0.46381578947368424,-0.5968468468468467,-0.030640668523676723
143,Senegal,SEN,Sub-Saharan Africa,-0.08552631578947362,0.0,-0.15320334261838442
144,Serbia,SRB,Eastern Europe,0.15460526315789466,0.16666666666666674,0.05849582172701954
145,Seychelles,SYC,Sub-Saharan Africa,0.10855263157894739,0.04279279279279288,-0.011142061281337007
146,Sierra Leone,SLE,Sub-Saharan Africa,-0.2763157894736842,-0.1576576576576577,-0.39832869080779937
147,Singapore,SGP,South Asia,0.4210526315789472,0.11936936936936944,0.7688022284122565
148,Slovak Republic,SVK,Eastern Europe,0.3914473684210525,0.3536036036036035,0.08913649025069646
149,Slovenia,SVN,Eastern Europe,0.3749999999999999,0.4076576576576576,0.10306406685236777
151,South Africa,ZAF,Sub-Saharan Africa,0.08223684210526316,0.13063063063063066,-0.09749303621169916
152,Spain,ESP,Western Europe,0.42434210526315763,0.38738738738738737,0.10863509749303638
153,Sri Lanka,LKA,South Asia,-0.1381578947368421,-0.16216216216216212,-0.15041782729805012
154,Sudan,SDN,Sub-Saharan Africa,-0.825657894736842,-0.6756756756756757,-0.39275766016713076
155,Suriname,SUR,Latin America & the Caribbean,0.21381578947368432,0.2995495495495498,-0.38161559888579377
157,Sweden,SWE,Western Europe,0.5493421052631579,0.5585585585585585,0.3732590529247913
158,Switzerland,CHE,Western Europe,0.6546052631578948,0.5112612612612614,0.5598885793871868
159,Syria,SYR,Middle East & North Africa,-1.0,-1.0,
160,Taiwan ,TWN,East Asia,0.5164473684210528,0.4436936936936937,0.4317548746518106
161,Tajikistan,TJK,Caucasus & Central Asia,-0.34868421052631593,-0.33333333333333326,-0.17270194986072412
162,Tanzania,TZA,Sub-Saharan Africa,-0.18750000000000008,-0.27477477477477474,-0.04456824512534803
163,Thailand,THA,South Asia,-0.09210526315789481,-0.16216216216216212,0.18105849582172703
164,Timor-Leste,TLS,South Asia,-0.023026315789473777,0.12387387387387384,-0.49025069637882995
165,Togo,TGO,Sub-Saharan Africa,-0.1710526315789475,-0.12612612612612606,-0.3203342618384401
